,gender,age,party,hasMCTfamily,loveMoney,loveFerrisWheel,fanOfHan
0,male,59,None,0,0,1,0
1,female,45,Democratic Progressive Party,0,1,1,0
2,male,45,Democratic Progressive Party,0,1,1,0
3,male,51,Democratic Progressive Party,0,0,1,0
4,female,60,KMT,0,1,0,1
5,male,47,None,0,0,0,0
6,male,43,KMT,0,0,0,0
7,female,58,Democratic Progressive Party,0,1,1,0
8,male,77,KMT,1,0,0,0
9,male,53,KMT,0,1,1,1
10,male,49,None,0,0,0,0
11,male,47,None,0,0,0,0
12,female,62,KMT,0,0,0,1
13,female,62,KMT,0,0,1,1
14,male,36,None,1,0,0,0
15,male,62,Democratic Progressive Party,0,0,1,0
16,female,77,KMT,1,1,1,1
17,female,44,Democratic Progressive Party,0,0,1,0
18,male,69,None,0,1,0,0
19,female,50,KMT,1,0,1,1
20,female,65,Democratic Progressive Party,0,1,1,0
21,male,49,Democratic Progressive Party,0,1,1,0
22,female,48,KMT,1,0,1,1
23,female,45,Democratic Progressive Party,0,1,1,0
24,male,30,Democratic Progressive Party,0,0,1,0
25,female,17,Democratic Progressive Party,0,1,1,0
26,male,37,None,1,1,1,1
27,male,30,KMT,0,0,0,0
28,female,36,Democratic Progressive Party,0,0,1,0
29,female,37,Democratic Progressive Party,1,1,1,1
30,male,81,None,0,0,0,0
31,female,4,Democratic Progressive Party,0,0,0,0
32,female,41,None,0,1,0,0
33,male,48,KMT,0,1,1,1
34,male,33,KMT,0,1,0,0
35,male,41,None,0,1,0,0
36,male,42,None,1,0,1,0
37,female,65,KMT,0,1,1,1
38,female,43,KMT,0,0,1,1
39,female,42,None,0,1,0,0
40,male,65,KMT,1,1,0,0
41,female,64,None,0,0,0,0
42,male,51,None,0,0,1,0
43,female,32,None,0,0,1,0
44,male,86,None,1,1,0,1
45,female,62,KMT,1,0,1,1
46,male,51,KMT,0,0,1,1
47,female,69,KMT,0,1,1,1
48,male,47,KMT,0,1,0,0
49,male,62,None,0,0,0,0
50,female,52,Democratic Progressive Party,0,1,1,0
51,male,78,None,0,1,0,0
52,female,29,KMT,0,0,1,1
53,female,70,KMT,0,0,1,1
54,female,66,None,0,0,0,0
55,male,60,Democratic Progressive Party,0,0,0,0
56,male,79,None,0,0,0,0
57,male,39,None,0,1,0,0
58,male,43,Democratic Progressive Party,0,0,0,0
59,male,39,None,0,0,0,0
60,male,55,KMT,1,0,1,1
61,male,36,KMT,0,0,0,0
62,female,58,None,0,0,0,0
63,male,49,None,0,1,0,0
64,male,35,None,0,1,0,0
65,male,73,Democratic Progressive Party,0,0,1,0
66,female,52,None,0,0,1,0
67,female,51,None,0,1,0,0
68,male,33,Democratic Progressive Party,0,1,0,0
69,female,63,KMT,1,1,1,1
70,female,63,None,0,0,0,0
71,male,78,KMT,0,1,0,0
72,male,48,Democratic Progressive Party,0,1,1,0
73,male,79,None,1,1,0,1
74,male,28,KMT,0,1,0,0
75,female,81,KMT,1,0,0,1
76,female,59,Democratic Progressive Party,0,1,1,0
77,female,7,None,0,1,0,0
78,male,40,None,0,1,0,0
79,female,38,None,0,0,1,0
80,male,32,None,1,0,0,0
81,female,62,KMT,1,0,0,1
82,female,62,Democratic Progressive Party,0,0,1,0
83,male,36,KMT,0,0,0,0
84,female,63,KMT,0,1,1,1
85,female,53,None,0,0,0,0
86,male,46,KMT,0,1,1,1
87,female,44,Democratic Progressive Party,0,0,0,0
88,female,61,KMT,0,0,1,1
89,male,58,KMT,0,1,0,0
90,male,64,None,0,0,1,0
91,male,57,None,0,1,1,0
92,female,46,None,0,0,1,0
93,female,45,None,0,0,1,0
94,female,82,None,0,0,1,0
95,male,40,None,0,0,1,0
96,male,55,None,0,1,1,0
97,female,65,None,0,1,1,0
98,female,52,None,0,1,0,0
99,male,51,None,0,1,1,0
100,male,68,None,1,1,1,1
101,male,37,None,1,1,1,1
102,male,66,None,0,0,0,0
103,male,57,KMT,0,0,0,0
104,female,26,None,0,0,1,0
105,female,57,None,1,1,1,1
106,male,66,None,0,0,1,0
107,male,60,KMT,0,1,0,0
108,female,51,Democratic Progressive Party,0,1,0,0
109,female,39,Democratic Progressive Party,0,0,0,0
110,male,68,KMT,1,1,1,1
111,female,36,None,0,0,1,0
112,male,57,None,0,1,0,0
113,female,38,Democratic Progressive Party,0,0,0,0
114,female,51,None,0,1,0,0
115,male,54,None,0,0,1,0
116,male,45,Democratic Progressive Party,0,1,0,0
117,male,55,None,0,0,1,0
118,female,49,Democratic Progressive Party,0,1,1,0
119,male,25,Democratic Progressive Party,0,1,1,0
120,female,51,None,0,0,1,0
121,female,30,None,0,0,1,0
122,male,37,None,0,0,0,0
123,female,82,Democratic Progressive Party,0,1,0,0
124,female,42,None,0,0,0,0
125,female,68,None,0,1,1,0
126,male,32,None,0,1,0,0
127,female,58,None,0,0,0,0
128,female,65,None,0,0,1,0
129,female,71,KMT,0,1,0,1
130,female,43,Democratic Progressive Party,0,0,0,0
131,male,50,Democratic Progressive Party,0,1,1,0
132,female,53,None,1,0,1,0
133,female,56,None,0,0,1,0
134,female,65,KMT,0,0,0,1
135,male,39,KMT,1,1,0,0
136,female,50,None,0,1,1,0
137,female,47,KMT,0,1,0,0
138,female,55,None,0,1,1,0
139,male,37,Democratic Progressive Party,0,1,0,0
140,male,43,None,1,1,1,1
141,male,70,None,0,1,1,0
142,male,23,None,0,0,1,0
143,female,48,None,0,0,1,0
144,male,59,None,0,0,1,0
145,female,77,None,0,0,1,0
146,female,55,Democratic Progressive Party,0,0,1,0
147,male,38,Democratic Progressive Party,0,0,0,0
148,male,66,None,0,0,1,0
149,male,43,KMT,0,1,1,1
150,female,67,None,0,0,1,0
151,male,46,None,1,1,0,1
152,female,75,None,0,1,0,0
153,female,38,KMT,1,0,1,1
154,male,57,None,0,1,1,0
155,male,45,Democratic Progressive Party,1,1,1,1
156,female,62,KMT,0,1,1,1
157,female,76,Democratic Progressive Party,0,0,1,0
158,male,60,None,0,0,1,0
159,female,62,KMT,0,0,1,1
160,male,33,KMT,0,0,1,1
161,male,79,None,0,1,1,0
162,male,56,KMT,0,0,1,1
163,male,73,Democratic Progressive Party,0,0,1,0
164,male,86,None,0,0,1,0
165,male,55,KMT,1,1,1,1
166,male,28,None,0,1,0,0
167,male,75,Democratic Progressive Party,0,1,0,0
168,male,67,Democratic Progressive Party,0,0,1,0
169,female,45,KMT,0,1,1,1
170,female,57,Democratic Progressive Party,0,0,1,0
171,female,46,None,0,1,0,0
172,male,76,KMT,0,1,1,1
173,male,38,None,0,0,0,0
174,female,33,Democratic Progressive Party,0,1,0,0
175,female,59,KMT,0,0,0,1
176,male,28,Democratic Progressive Party,0,0,0,0
177,female,52,KMT,0,0,0,0
178,male,53,KMT,0,1,1,1
179,female,69,KMT,0,1,0,1
180,male,57,KMT,0,1,1,1
181,female,32,KMT,0,1,0,0
182,female,58,None,0,1,1,0
183,male,31,Democratic Progressive Party,0,0,0,0
184,female,74,None,1,1,0,1
185,female,31,KMT,0,1,0,0
186,male,57,Democratic Progressive Party,0,0,0,0
187,male,68,Democratic Progressive Party,1,0,1,0
188,female,64,KMT,0,0,0,1
189,female,70,Democratic Progressive Party,0,0,1,0
190,female,79,None,0,0,1,0
191,female,36,None,1,0,1,0
192,female,33,None,0,0,1,0
193,female,40,None,0,0,1,0
194,female,62,None,0,0,1,0
195,female,49,KMT,1,0,1,1
196,female,32,KMT,0,0,0,0
197,female,37,None,0,1,0,0
198,male,42,Democratic Progressive Party,1,1,1,1
199,female,38,KMT,0,1,1,1
200,male,56,None,1,0,0,0
201,male,70,KMT,0,1,1,1
202,male,74,None,0,1,1,0
203,male,23,KMT,0,1,1,1
204,female,37,KMT,1,1,0,0
205,female,44,KMT,1,1,1,1
206,male,59,None,0,1,1,0
207,male,68,Democratic Progressive Party,0,0,1,0
208,female,70,Democratic Progressive Party,0,1,0,0
209,male,42,Democratic Progressive Party,0,1,1,0
210,female,61,None,0,0,1,0
211,female,45,KMT,0,0,0,0
212,male,45,None,0,0,1,0
213,female,66,None,0,0,1,0
214,male,55,KMT,1,1,1,1
215,male,54,KMT,0,1,0,0
216,female,59,KMT,0,1,1,1
217,male,46,KMT,0,1,0,0
218,male,43,None,1,1,0,1
219,male,68,KMT,0,1,0,0
